Pohlavie,Location,Grade,Free Time Activity,Favorite School Subject,Favorite Game,Favorite Movie,Dream Travel Destination,Skilled Activity/Game,Proud Achievement,Top World Priority,Importance of Helping Others,Contribution to a Better World,Preferred Career Field
dievča,mesto,8.ročník,venujem sa športu,Matematika,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska;vzdelanie;šťastie a radosť;sloboda,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,Stavebníctvo 
chlapec,mesto,8.ročník,venujem sa športu,Matematika,športové hry,Fantasy a Sci-fi film,do polárnych oblastí,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia,radosť na oboch stranách,zlepšenie inovácií a technológií,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,mesto,8.ročník,venujem sa športu,Telesná výchova,športové hry,Komédia,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;šťastie a radosť,rád robím dobré skutky,spravodlivosť,"bankovníctvo (napr. bankový poradca);ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);marketing a reklama (napr. grafik, marketingový analytik);obchod a služby so zákazníkom (maklér, predavač);športový odborník (napr. inštruktor, tréner)"
chlapec,mesto,8.ročník,hrám videohry,Telesná výchova,športové hry,Akčný film,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;mier a spravodlivosť,radosť na oboch stranách,boj proti chudobe,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,8.ročník,venujem sa športu,Telesná výchova,športové hry,Romantický film,na festival,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",lepšiu zdravotnícku starostlivosť,"športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,7.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",zdravie,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,7.ročník,hrám sa vonku s priateľmi,Telesná výchova,logické hry,hororový film,na exotickú pláž/ostrov,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach",úspešne som prekonal svoj strach,rodina;priatelia;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"sociálna starostlivosť (napr. opatrovateľ);zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,mesto,7.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;vzdelanie;príroda a životné prostredie;mier a spravodlivosť;šťastie a radosť;sloboda;dobrosrdečnosť a pomoc druhým,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,7.ročník,počúvam hudbu,Telesná výchova,logické hry,Fantasy a Sci-fi film,na formulu 1,Jazykové zručnosti,úspešne som prekonal svoj strach,zdravie;priatelia;láska,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"bankovníctvo (napr. bankový poradca);ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie);zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,mesto,7.ročník,venujem sa športu,Telesná výchova,športové hry,horor,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;šťastie a radosť,vznikajú nové a silné priateľstvá,ochranu životného prostredia,"športový odborník (napr. inštruktor, tréner);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,mesto,7.ročník,počúvam hudbu,Jazyky,športové hry,Akčný film,nemám rada cestovanie,"Dramatické umenie: Herectvo, réžia, divadelné predstavenia",úspešne som prekonal svoj strach,láska;mier a spravodlivosť;šťastie a radosť,rád robím dobré skutky,ochranu životného prostredia,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,dedina,7.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska,"mám rád, keď som vzorom pre druhých",mier a bezpečnosť,"manažment (napr. vedúci predajne, projektový manažér);športový odborník (napr. inštruktor, tréner)"
chlapec,mesto,7.ročník,venujem sa športu,Telesná výchova,športové hry,Komédia,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia,radosť na oboch stranách,mier a bezpečnosť,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,7.ročník,počúvam hudbu,Výtvarná výchova,hra so stavebnicou,Dobrodružný film,niekam k moru,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",vytvoril som umelecké dielo,rodina;zdravie;priatelia;láska;vzdelanie;šťastie a radosť;zvierata,vznikajú nové a silné priateľstvá,ochranu životného prostredia,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,mesto,7.ročník,počúvam hudbu,"Vedecké predmety (biológia, chémia, fyzika)",logické hry,detektívky,na exotickú pláž/ostrov,Debaty a komunikácia,"učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",láska;vzdelanie;šťastie a radosť,radosť na oboch stranách,ochranu životného prostredia,"zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,dedina,7.ročník,"pocuvam hudbu, hram sport, citanie knihy",biologia,hra na povolania lekár/veterinár,Animovaný film,na hory,"hadzana,folklorny subor,organizacia udalosti,klavir",ucebne a sportovy vykon,rodina;zdravie;priatelia;láska;vzdelanie;príroda a životné prostredie;mier a spravodlivosť;šťastie a radosť;sloboda,"mám rád, keď som vzorom pre druhých",boj proti chudobe,"bankovníctvo (napr. bankový poradca);ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);obchod a služby so zákazníkom (maklér, predavač);zdravotníctvo (napr. lekár, farmaceut, masér);veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,mesto,7.ročník,"počúvam hudbu, čitam kinhu a skladám puzzle",Hudba,logické hry,Komédia,na festival,Debaty a komunikácia,zaspievala som na koncerte tak že som bola spokaojná,rodina;láska;mier a spravodlivosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",všetko z tohto,"marketing a reklama (napr. grafik, marketingový analytik);umelecká (herectvo, spev, tanec...)"
chlapec,mesto,7.ročník,"gitara, pocuvanie hudby",Telesná výchova,pc hry,ziadne,na festival,ziadne,ziadne,rodina;mier a spravodlivosť;peniaze,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",mier a bezpečnosť,okolo hudby...
dievča,mesto,7.ročník,venujem sa športu,Výtvarná výchova,logické hry,Animovaný film,do národného parku,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel","naučil som sa niečo nové (jazyk, šport)",sloboda,ked mozem tak sa vyhnem pomahaniu ostatnim,spravodlivosť,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,7.ročník,hrám sa vonku s priateľmi,Dejepis,vytváranie príbehov alebo scenárov,Romantický film,do historického mesta,Debaty a komunikácia,dosiahol som osobné ciele a viac sa spoznal,rodina;zdravie;vzdelanie,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"doprava a logistika (napr. pilot, lodný kapitán, rušňovodič, kuriér);pedagogické povolania (napr. učiteľ, vychovávateľ);zdravotníctvo (napr. lekár, farmaceut, masér);Právnička"
dievča,mesto,9.ročník,venujem sa športu,Jazyk a literatúra,vedecké hry,Fantasy a Sci-fi film,na hory,"Dramatické umenie: Herectvo, réžia, divadelné predstavenia",dobrovoľnícka činnosť,šťastie a radosť,"mám rád, keď som vzorom pre druhých",mier a bezpečnosť,"veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
chlapec,dedina,9.ročník,hrám videohry,"Technické predmety (informatika, technická výchova)",logické hry,Fantasy a Sci-fi film,na hory,"Programovanie a technológie: Programovanie počítačových hier, tvorba webových stránok alebo práca s technologickými zariadeniami",naprogramoval som aplikáciu,rodina;zdravie;mier a spravodlivosť,vznikajú nové a silné priateľstvá,zlepšenie vzdelávania,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,mesto,9.ročník,venujem sa športu,Telesná výchova,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;sloboda,rád robím dobré skutky,mier a bezpečnosť,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
chlapec,mesto,9.ročník,počúvam hudbu,Jazyky,hra na povolania lekár/veterinár,Komédia,do veľkého mesta,Jazykové zručnosti,vytvoril som umelecké dielo,rodina;zdravie;priatelia,"mám rád, keď som vzorom pre druhých",zlepšenie vzdelávania,"bankovníctvo (napr. bankový poradca);zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,mesto,9.ročník,venujem sa športu,Telesná výchova,športové hry,Dobrodružný film,na festival,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;sloboda,radosť na oboch stranách,spravodlivosť,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,9.ročník,oddychujem a zabávam sa pozeraním televízora,Jazyky,športové hry,Romantický film,do veľkého mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",úspešne som prekonal svoj strach,rodina;priatelia;šťastie a radosť,vznikajú nové a silné priateľstvá,spravodlivosť,"manažment (napr. vedúci predajne, projektový manažér);marketing a reklama (napr. grafik, marketingový analytik);športový odborník (napr. inštruktor, tréner);zdravotníctvo (napr. lekár, farmaceut, masér);architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
dievča,mesto,9.ročník,oddychujem a zabávam sa pozeraním televízora,Jazyky,vytváranie príbehov alebo scenárov,Akčný film,na exotickú pláž/ostrov,Jazykové zručnosti,úspešne som prekonal svoj strach,rodina;zdravie;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"marketing a reklama (napr. grafik, marketingový analytik);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
chlapec,mesto,9.ročník,hrám videohry,Telesná výchova,Elden Ring ,Akčný film,do polárnych oblastí,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;láska;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",lepšiu zdravotnícku starostlivosť,"zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,mesto,9.ročník,počúvam hudbu,Matematika,logické hry,Fantasy a Sci-fi film,do krajiny s exotickou kuchyňou,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",dobrovoľnícka činnosť,rodina;zdravie;príroda a životné prostredie,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",boj proti chudobe,"informačné technológie (napr. programátor, IT analytik, web dizajnér);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,mesto,9.ročník,spím,"Vedecké predmety (biológia, chémia, fyzika)",hra na povolania lekár/veterinár,Komédia,do vesmíru,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",úspešne som prekonal svoj strach,priatelia;mier a spravodlivosť;sloboda,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,dedina,9.ročník,čítam knihu,Matematika,športové hry,Fantasy a Sci-fi film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",dosiahol som osobné ciele a viac sa spoznal,zdravie;láska;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",boj proti chudobe,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);manažment (napr. vedúci predajne, projektový manažér);športový odborník (napr. inštruktor, tréner)"
chlapec,mesto,9.ročník,hrám sa vonku s priateľmi,Jazyky,hra so stavebnicou,Romantický film,Trnava,Jazykové zručnosti,Vyhral som kompet v csku ,rodina;zdravie;sloboda,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",zlepšenie vzdelávania,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
dievča,mesto,9.ročník,počúvam hudbu,Telesná výchova,športové hry,Dráma alebo Horror,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;priatelia;láska,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"športový odborník (napr. inštruktor, tréner);veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,mesto,9.ročník,čítam knihu,Jazyky,vytváranie príbehov alebo scenárov,Komédia,na exotickú pláž/ostrov,"Dramatické umenie: Herectvo, réžia, divadelné predstavenia",dosiahol som osobné ciele a viac sa spoznal,rodina;vzdelanie;sebaláska,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,pôsobenie vo filme
chlapec,mesto,9.ročník,hrám videohry,Výtvarná výchova,role-playing hra,Dobrodružný film,na exotickú pláž/ostrov,Debaty a komunikácia,vytvoril som umelecké dielo,rodina;zdravie;priatelia,radosť na oboch stranách,spravodlivosť,Vinár
dievča,mesto,9.ročník,oddychujem a zabávam sa pozeraním televízora,Matematika,hra na povolania lekár/veterinár,Romantický film,na exotickú pláž/ostrov,"Organizovanie udalostí, vedenie tímu alebo riadenie projektov","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;priatelia,rád robím dobré skutky,mier a bezpečnosť,"manažment (napr. vedúci predajne, projektový manažér);obchod a služby so zákazníkom (maklér, predavač);sociálna starostlivosť (napr. opatrovateľ);pedagogické povolania (napr. učiteľ, vychovávateľ);zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,mesto,9.ročník,venujem sa športu,Matematika,logické hry,Fantasy a Sci-fi film,na exotickú pláž/ostrov,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",zdravie;láska;šťastie a radosť,rád robím dobré skutky,lepšiu zdravotnícku starostlivosť,"informačné technológie (napr. programátor, IT analytik, web dizajnér);architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
chlapec,mesto,9.ročník,hrám videohry,Jazyky,logické hry,Akčný film,do krajiny s exotickou kuchyňou,Hrat csgo,Vyhrat major,rodina;zdravie;priatelia;láska;mier a spravodlivosť;šťastie a radosť,rád robím dobré skutky,spravodlivosť,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);manažment (napr. vedúci predajne, projektový manažér)"
chlapec,mesto,9.ročník,hrám videohry,Dejepis,logické hry,Akčný film,na exotickú pláž/ostrov,"Programovanie a technológie: Programovanie počítačových hier, tvorba webových stránok alebo práca s technologickými zariadeniami",dosiahol som osobné ciele a viac sa spoznal,rodina;priatelia;vzdelanie,rád robím dobré skutky,mier a bezpečnosť,"doprava a logistika (napr. pilot, lodný kapitán, rušňovodič, kuriér);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,dedina,6.ročník,hrám sa vonku s priateľmi,Matematika,logické hry,Fantasy a Sci-fi film,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",vytvoril som umelecké dielo,rodina;zdravie;láska,pomáhať druhým je pre mňa spoločenská zodpovednosť,mier a bezpečnosť,"cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie)"
dievča,dedina,6.ročník,hrám sa vonku s priateľmi,Výtvarná výchova,výtvarné hry,Romantický film,na exotickú pláž/ostrov,Debaty a komunikácia,dosiahol som osobné ciele a viac sa spoznal,zdravie;príroda a životné prostredie;mier a spravodlivosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
chlapec,dedina,6.ročník,hrám videohry,Matematika,športové hry,Dobrodružný film,na hory,"Programovanie a technológie: Programovanie počítačových hier, tvorba webových stránok alebo práca s technologickými zariadeniami",naprogramoval som aplikáciu,rodina;zdravie;priatelia;vzdelanie;príroda a životné prostredie;mier a spravodlivosť;šťastie a radosť;sloboda;dobrosrdečnosť a pomoc druhým,rád robím dobré skutky,ochranu životného prostredia,"informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,dedina,6.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Akčný film,Na jupiter,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;Ja,"mám rád, keď som vzorom pre druhých",mier a bezpečnosť,"marketing a reklama (napr. grafik, marketingový analytik);športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,6.ročník,hrám videohry,Geografia,role-playing hra,Akčný film,na hory,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;príroda a životné prostredie,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník)"
dievča,dedina,6.ročník,čítam knihu,Telesná výchova,logické hry,Fantasy a Sci-fi film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",dosiahol som osobné ciele a viac sa spoznal,rodina;zdravie;láska,radosť na oboch stranách,ochranu životného prostredia,"pedagogické povolania (napr. učiteľ, vychovávateľ);architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet);Dekorantka domu/záhrady"
chlapec,dedina,6.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,Japonsko,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;mier a spravodlivosť;šťastie a radosť,rád robím dobré skutky,mier a bezpečnosť,"doprava a logistika (napr. pilot, lodný kapitán, rušňovodič, kuriér);športový odborník (napr. inštruktor, tréner);Vojak"
dievča,dedina,6.ročník,Venujem sa zvieratám,Biológia,výtvarné hry,Horory,na festival,Debaty a komunikácia,"naučil som sa niečo nové (jazyk, šport)",rodina,"mám rád, keď som vzorom pre druhých",boj proti chudobe,"športový odborník (napr. inštruktor, tréner);veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,mesto,7.ročník,kreslím alebo maľujem,Hudba,športové hry,porno,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",vytvoril som umelecké dielo,rodina;zdravie;priatelia,rád robím dobré skutky,spravodlivosť,"obchod a služby so zákazníkom (maklér, predavač)"
chlapec,dedina,9.ročník,čítam knihu,Jazyk a literatúra,logické hry,Dokumentárny film,do historického mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",vytvoril som umelecké dielo,zdravie;láska;mier a spravodlivosť,rád robím dobré skutky,zlepšenie vzdelávania,bankovníctvo (napr. bankový poradca)
dievča,mesto,8.ročník,kreslím alebo maľujem,Výtvarná výchova,vedecké hry,Romantický film,do historického mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",dobrovoľnícka činnosť,zdravie;priatelia;láska,rád robím dobré skutky,boj proti chudobe,"športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,6.ročník,hrám sa vonku s priateľmi,Matematika,role-playing hra,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;láska,radosť na oboch stranách,ochranu životného prostredia,"informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,dedina,6.ročník,hrám sa vonku s priateľmi,"Technické predmety (informatika, technická výchova)",role-playing hra,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",úspešne som prekonal svoj strach,rodina;zdravie;priatelia;láska;vzdelanie;príroda a životné prostredie;mier a spravodlivosť;šťastie a radosť;sloboda;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"informačné technológie (napr. programátor, IT analytik, web dizajnér);športový odborník (napr. inštruktor, tréner);architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
dievča,dedina,6.ročník,hrám sa vonku s priateľmi,Telesná výchova,Stop zem ,Stop zem ,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;priatelia;vzdelanie;šťastie a radosť;dobrosrdečnosť a pomoc druhým,rád robím dobré skutky,spravodlivosť,"zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,dedina,6.ročník,počúvam hudbu,Výtvarná výchova,Stop zem,Romantický film,Na koncert Yzomndiasa a Nik tena,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;láska;príroda a životné prostredie;šťastie a radosť;dobrosrdečnosť a pomoc druhým,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie);zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,dedina,6.ročník,počúvam hudbu,Telesná výchova,Vybijana,Horor,Na festival yza a nika,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;priatelia;láska;dobrosrdečnosť a pomoc druhým;Aby sme sa nesudilii podla vzhaldu,rád robím dobré skutky,mier a bezpečnosť,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
